Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",141.450000,-85.400000,0.000000,top
"C2","10u","C_0805_2012Metric",138.554000,-79.060000,90.000000,top
"C3","100nf","C_0402_1005Metric",159.460589,-101.410589,315.000000,top
"C4","100nf","C_0402_1005Metric",166.460589,-77.389411,45.000000,top
"C5","100nf","C_0402_1005Metric",162.939411,-104.939411,315.000000,top
"C6","100nf","C_0402_1005Metric",154.850000,-96.550000,315.000000,top
"C7","100nf","C_0402_1005Metric",164.089411,-79.760589,225.000000,top
"C8","100nf","C_0402_1005Metric",161.350000,-82.850000,225.000000,top
"C9","100nf","C_0402_1005Metric",200.152000,-81.788000,90.000000,top
"C12","100nf","C_0402_1005Metric",156.972000,-86.868000,45.000000,top
"C13","100nf","C_0402_1005Metric",154.841358,-88.650531,225.000000,top
"C14","10n","C_0402_1005Metric",154.134251,-87.943426,225.000000,top
"C15","2.2u","C_0603_1608Metric",164.000000,-107.500000,45.000000,top
"C16","2.2u","C_0603_1608Metric",186.100000,-99.400000,45.000000,top
"C17","12p","C_0402_1005Metric",160.832754,-79.192410,270.000000,top
"C18","12p","C_0402_1005Metric",154.832754,-79.192410,90.000000,top
"C19","1uF 16v","C_0402_1005Metric",74.958000,-89.154000,180.000000,top
"C20","1uF","C_0402_1005Metric",81.816000,-87.630000,0.000000,top
"C21","100nf","C_0402_1005Metric",165.200000,-76.000000,180.000000,top
"C22","4.7uF","C_0402_1005Metric",105.976000,-86.610000,180.000000,top
"C23","100nf","C_0402_1005Metric",177.810000,-75.400000,0.000000,top
"C24","10uF","C_0402_1005Metric",105.184000,-78.232000,180.000000,top
"C25","10uF","C_0402_1005Metric",95.250000,-78.994000,270.000000,top
"C26","10uF","C_0402_1005Metric",87.100000,-93.060000,0.000000,top
"C27","10uF","C_0402_1005Metric",91.020000,-93.060000,180.000000,top
"C29","4.7uF","C_0402_1005Metric",116.330000,-84.140000,90.000000,top
"C30","4.7uF","C_0402_1005Metric",106.390000,-81.800000,90.000000,top
"C31","4.7uF","C_0402_1005Metric",116.320000,-86.150000,270.000000,top
"C32","1uF 16v","C_0402_1005Metric",68.072000,-83.820000,0.000000,top
"C33","4.7uF","C_0402_1005Metric",105.790000,-83.900000,0.000000,top
"C34","10nf","C_0402_1005Metric",64.990000,-104.670000,0.000000,top
"C35","10nf","C_0402_1005Metric",73.830000,-107.600000,180.000000,top
"C37","10nf","C_0402_1005Metric",129.970000,-104.960000,0.000000,top
"C38","10nf","C_0402_1005Metric",138.475000,-107.325000,180.000000,top
"C41","10nf","C_0402_1005Metric",86.630000,-105.120000,0.000000,top
"C42","10nf","C_0402_1005Metric",108.080000,-104.890000,0.000000,top
"C43","10nf","C_0402_1005Metric",95.590000,-107.530000,180.000000,top
"C44","10nf","C_0402_1005Metric",117.050000,-107.535000,180.000000,top
"C45","100nf","C_0402_1005Metric",57.432000,-96.012000,180.000000,top
"C46","10nf","C_0402_1005Metric",55.118000,-81.054000,90.000000,top
"C47","10nf","C_0402_1005Metric",53.622000,-102.362000,270.000000,top
"C48","100nf","C_0402_1005Metric",194.564000,-86.614000,90.000000,top
"C49","10nf","C_0402_1005Metric",202.325000,-89.750000,180.000000,top
"C51","10nf","C_0402_1005Metric",207.727000,-104.378000,90.000000,top
"C52","10nf","C_0402_1005Metric",202.552000,-104.414000,90.000000,top
"C54","100nf","C_0402_1005Metric",105.198000,-91.030000,180.000000,top
"C55","10n","C_0402_1005Metric",105.198000,-92.046000,180.000000,top
"C56","1uF 16v","C_0402_1005Metric",68.072000,-82.804000,180.000000,top
"C57","1uF 16v","C_0402_1005Metric",73.406000,-89.570000,270.000000,top
"C58","4.7u","C_0603_1608Metric",181.550000,-80.400000,135.000000,top
"C59","100nf","C_0402_1005Metric",187.877105,-97.383747,45.000000,top
"C60","100nf","C_0402_1005Metric",166.550000,-108.900000,45.000000,top
"C61","100nf","C_0402_1005Metric",175.339411,-76.339411,315.000000,top
"C62","100nf","C_0402_1005Metric",182.938582,-102.299705,45.000000,top
"C63","100nf","C_0402_1005Metric",175.863362,-109.930862,45.000000,top
"C64","100nf","C_0402_1005Metric",180.500000,-81.450000,135.000000,top
"C65","100nf","C_0402_1005Metric",178.855824,-106.073324,45.000000,top
"C66","100nf","C_0402_1005Metric",188.600000,-89.600000,135.000000,top
"C67","100nf","C_0402_1005Metric",184.050000,-84.950000,135.000000,top
"D1","B5819W","D_SOD-123",214.600000,-100.800000,90.000000,top
"D2","B5819W","D_SOD-123",134.600000,-79.330000,90.000000,top
"F1","500mA","Fuse_0603_1608Metric",136.844000,-82.482500,90.000000,top
"FB1","100 @ 100MHz","L_0805_2012Metric",138.604000,-82.600000,90.000000,top
"FB2","100 @ 100MHz","L_0805_2012Metric",153.900000,-84.200000,90.000000,top
"FB3","100","L_0805_2012Metric",103.839500,-81.788000,0.000000,top
"FB4","100","L_0805_2012Metric",96.266000,-83.058000,180.000000,top
"FB5","100","L_0805_2012Metric",87.120000,-89.560000,0.000000,top
"FB6","100","L_0805_2012Metric",91.020000,-89.560000,180.000000,top
"FB7","100 @ 100MHz","L_0805_2012Metric",104.407500,-89.650000,180.000000,top
"HSE1","25Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",157.882754,-79.192410,180.000000,top
"R1","10k","R_0402_1005Metric",179.807851,-77.200096,45.000000,top
"R2","220","R_0402_1005Metric",157.382182,-81.969814,90.000000,top
"R3","180","R_0603_1608Metric",148.400000,-86.300000,180.000000,top
"R4","180","R_0603_1608Metric",192.800000,-89.625000,270.000000,top
"R5","10k","R_0402_1005Metric",205.950000,-89.950000,0.000000,top
"R6","180","R_0603_1608Metric",202.775000,-82.804000,180.000000,top
"R7","47k","R_0805_2012Metric",94.488000,-81.026000,180.000000,top
"R8","47k","R_0805_2012Metric",104.394000,-79.756000,180.000000,top
"R9","47k","R_0805_2012Metric",91.020000,-91.560000,0.000000,top
"R10","47k","R_0805_2012Metric",87.120000,-91.560000,180.000000,top
"R11","330","R_0402_1005Metric",43.800000,-101.910000,90.000000,top
"R12","5.6k","R_0805_2012Metric",69.699500,-87.376000,180.000000,top
"R13","5.6k","R_0805_2012Metric",70.612000,-81.026000,0.000000,top
"R14","680","R_0805_2012Metric",82.550000,-82.550000,180.000000,top
"R15","180","R_0603_1608Metric",191.750000,-102.425000,90.000000,top
"R16","180","R_0603_1608Metric",148.400000,-100.400000,180.000000,top
"R17","10k","R_0402_1005Metric",66.012000,-103.544000,180.000000,top
"R18","10k","R_0402_1005Metric",73.840000,-108.600000,180.000000,top
"R19","10k","R_0402_1005Metric",131.040000,-103.875000,180.000000,top
"R20","10k","R_0402_1005Metric",138.475000,-108.350000,180.000000,top
"R21","10k","R_0402_1005Metric",87.560000,-103.810000,180.000000,top
"R22","10k","R_0402_1005Metric",109.130000,-103.695000,180.000000,top
"R23","10k","R_0402_1005Metric",95.590000,-108.530000,180.000000,top
"R24","10k","R_0402_1005Metric",117.050000,-108.585000,180.000000,top
"R25","10k","R_0402_1005Metric",56.134000,-81.024000,90.000000,top
"R26","10k","R_0402_1005Metric",54.610000,-102.362000,270.000000,top
"R27","10k","R_0402_1005Metric",200.300000,-89.775000,0.000000,top
"R29","10k","R_0402_1005Metric",206.700000,-104.400000,90.000000,top
"R30","10k","R_0402_1005Metric",201.536000,-104.425000,90.000000,top
"R31","5.6k","R_0805_2012Metric",73.048500,-83.566000,0.000000,top
"R32","5.6k","R_0805_2012Metric",71.882000,-90.170000,270.000000,top
"R33","100k","R_0402_1005Metric",124.738000,-80.802000,180.000000,top
"R34","10k","R_0402_1005Metric",41.615000,-80.500000,180.000000,top
"R35","10k","R_0402_1005Metric",48.800000,-103.850000,180.000000,top
"R36","0","R_0402_1005Metric",155.702000,-85.852000,45.000000,top
"R37","10k","R_0402_1005Metric",183.510000,-76.770000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",144.064000,-80.520000,0.000000,top
"U2","CAT24C256","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",196.525000,-79.750000,270.000000,top
"U3","USBLC6-2SC6","SOT-23-6",129.700000,-80.500000,90.000000,top
"U7","WM8978CGEFL_RV","WM8960CGEFL&slash_RV",110.650000,-85.100000,90.000000,top
"U10","SN74LVC2G34","SOT-23-6",58.504000,-98.552000,0.000000,top
"U11","SN74LVC2G34","SOT-23-6",197.104000,-87.884000,180.000000,top
"U13","STM32H743IITx","LQFP-176_24x24mm_P0.5mm",171.600000,-93.000000,315.000000,top
